"Section","key","English (reference — do not edit)","Khmer (edit here)","Chinese (edit here)","Notes for Claude"
"Legal — privacy","privacyPolicy.informationWeCollect.items.message","Any message or notes you include with your request.","សារ ឬកំណត់សម្គាល់ណាមួយដែលលោកអ្នកបញ្ចូលជាមួយសំណើរបស់លោកអ្នក។","您随请求附上的任何留言或备注。",""
"Legal — privacy","privacyPolicy.informationWeCollect.items.preferences","Country, treatment interest, preferred branch, preferred doctor, and preferred date.","ប្រទេស ការព្យាបាលដែលចាប់អារម្មណ៍ សាខាដែលពេញចិត្ត ទន្តបណ្ឌិតដែលពេញចិត្ត និងកាលបរិច្ឆេទដែលពេញចិត្ត។","国家／地区、感兴趣的治疗项目、首选分院、首选医生以及首选日期。",""
"Legal — privacy","privacyPolicy.informationWeCollect.referral","We may also receive a first-party referral code if you arrived through a valid Roomchang referral link.","យើងក៏អាចទទួលបានកូដបញ្ជូនផ្ទាល់ (first-party referral code) ផងដែរ ប្រសិនបើលោកអ្នកបានចូលមកតាមរយៈតំណបញ្ជូន Roomchang ដែលត្រឹមត្រូវ។","如果您通过有效的 Roomchang 推荐链接进入，我们还可能收到第一方推荐码。",""
"Legal — privacy","privacyPolicy.lastUpdated","Last updated: June 2026","ធ្វើបច្ចុប្បន្នភាពចុងក្រោយ៖ ខែមិថុនា ឆ្នាំ២០២៦","最后更新：2026年6月",""
"Legal — privacy","privacyPolicy.title","Privacy Policy","គោលការណ៍ឯកជនភាព","隐私政策",""
"Legal — privacy","privacyPolicy.whoWeAre.contact","Our main address is {address}. You can contact us at {email}, {phone1}, or {phone2}, which is available 24/7.","អាសយដ្ឋានចម្បងរបស់យើងគឺ {address}។ លោកអ្នកអាចទាក់ទងមកយើងតាមរយៈ {email}, {phone1} ឬ {phone2} ដែលមានដំណើរការ ២៤ ម៉ោងក្នុងមួយថ្ងៃ ៧ ថ្ងៃក្នុងមួយសប្តាហ៍។","我们的主要地址为 {address}。您可以通过 {email}、{phone1} 或 {phone2} 与我们联系，全天24小时均可联系。",""
"Legal — privacy","privacyPolicy.whoWeAre.heading","Who We Are","យើងជានរណា","关于我们",""
"Legal — privacy","privacyPolicy.whoWeAre.intro","Roomchang Dental Hospital is a dental hospital founded in 1996 in Phnom Penh, Cambodia. We serve local and international patients through a multilingual website in English, Chinese, and Khmer.","Roomchang Dental Hospital គឺជាមន្ទីរពេទ្យធ្មេញដែលបានបង្កើតឡើងនៅឆ្នាំ១៩៩៦ ក្នុងរាជធានីភ្នំពេញ ប្រទេសកម្ពុជា។ យើងផ្តល់សេវាដល់អ្នកជំងឺក្នុងស្រុក និងអន្តរជាតិ តាមរយៈគេហទំព័រពហុភាសា ជាភាសាអង់គ្លេស ចិន និងខ្មែរ។","Roomchang Dental Hospital 是一家于1996年在柬埔寨金边创立的牙科医院。我们通过提供英文、中文和高棉文的多语言网站，为本地及国际患者提供服务。",""
"Legal — privacy","privacyPolicy.yourRights.body","You may ask to access, correct, or delete personal information submitted through the website by contacting {email}. We may need to verify your request before making changes.","លោកអ្នកអាចស្នើសុំ ចូលប្រើ កែតម្រូវ ឬលុបព័ត៌មានផ្ទាល់ខ្លួនដែលបានដាក់ស្នើតាមរយៈគេហទំព័រ ដោយទាក់ទងមក {email}។ យើងអាចត្រូវការផ្ទៀងផ្ទាត់សំណើរបស់លោកអ្នកមុនពេលធ្វើការផ្លាស់ប្តូរ។","您可以通过联系 {email}，要求访问、更正或删除通过本网站提交的个人信息。在进行更改之前，我们可能需要先核实您的请求。",""
"Legal — privacy","privacyPolicy.yourRights.heading","Your Rights","សិទ្ធិរបស់លោកអ្នក","您的权利",""
"Legal — terms","termsOfService.agreement.body1","These Terms of Service apply to your use of the Roomchang Dental Hospital website. Roomchang Dental Hospital was founded in 1996 and is located at No. 4, Street 184, Phnom Penh, Cambodia.","លក្ខខណ្ឌនៃការប្រើប្រាស់ទាំងនេះ អនុវត្តចំពោះការប្រើប្រាស់គេហទំព័ររបស់ Roomchang Dental Hospital។ Roomchang Dental Hospital ត្រូវបានបង្កើតឡើងនៅឆ្នាំ១៩៩៦ និងមានទីតាំងស្ថិតនៅផ្ទះលេខ៤ ផ្លូវ១៨៤ រាជធានីភ្នំពេញ ប្រទេសកម្ពុជា។","本服务条款适用于您对 Roomchang Dental Hospital 网站的使用。Roomchang Dental Hospital 成立于1996年，地址位于柬埔寨金边184街4号。",""
"Legal — terms","termsOfService.agreement.body2","By using this website, you agree to use it lawfully and in a way that does not interfere with the site, its security, or other users.","ដោយការប្រើប្រាស់គេហទំព័រនេះ អ្នកយល់ព្រមប្រើប្រាស់វាស្របច្បាប់ និងតាមរបៀបដែលមិនរំខានដល់គេហទំព័រ សុវត្ថិភាពរបស់វា ឬអ្នកប្រើប្រាស់ផ្សេងទៀត។","使用本网站即表示您同意以合法的方式使用本网站，并且不会干扰本网站、其安全性或其他用户。",""
"Legal — terms","termsOfService.agreement.heading","Agreement to These Terms","ការយល់ព្រមតាមលក្ខខណ្ឌទាំងនេះ","同意本条款",""
"Legal — terms","termsOfService.appointments.body","Website forms allow you to request information or ask for an appointment. Submitting a request does not guarantee a booking, treatment availability, a specific doctor, or a specific appointment time. A Roomchang team member will confirm details with you directly.","បែបបទនៅលើគេហទំព័រអនុញ្ញាតឱ្យអ្នកស្នើសុំព័ត៌មាន ឬស្នើសុំការណាត់ជួប។ ការដាក់ស្នើសំណើមួយមិនធានាការកក់ការណាត់ជួប ភាពអាចរកបាននៃការព្យាបាល ទន្តបណ្ឌិតជាក់លាក់ ឬម៉ោងណាត់ជួបជាក់លាក់នោះទេ។ សមាជិកក្រុមការងាររបស់ Roomchang នឹងបញ្ជាក់ព័ត៌មានលម្អិតជាមួយអ្នកដោយផ្ទាល់។","网站表单可供您索取信息或请求预约。提交请求并不保证预约成功、治疗可供性、指定医生或指定的预约时间。Roomchang 团队成员将直接与您确认相关详情。",""
"Legal — terms","termsOfService.appointments.heading","Appointment Requests","សំណើនៃការណាត់ជួប","预约请求",""
"Legal — terms","termsOfService.backLink","Home","ទំព័រដើម","首页",""
"Legal — terms","termsOfService.contact.body","Questions about these terms may be sent to contact@roomchang.com or directed to +855 69 811 338 or +855 11 811 338.","សំណួរអំពីលក្ខខណ្ឌទាំងនេះអាចផ្ញើទៅ contact@roomchang.com ឬទាក់ទងតាមលេខ +855 69 811 338 ឬ +855 11 811 338។","有关本条款的问题，可发送至 contact@roomchang.com，或致电 +855 69 811 338 或 +855 11 811 338。",""
"Legal — terms","termsOfService.contact.heading","Contact","ទាក់ទង","联系我们",""
"Legal — terms","termsOfService.content.body1","The content on this website is provided for general information about dental care, Roomchang Dental Hospital, and available services. It is not a substitute for professional dental, medical, or clinical advice.","ខ្លឹមសារនៅលើគេហទំព័រនេះត្រូវបានផ្តល់ជូនសម្រាប់ព័ត៌មានទូទៅអំពីការថែទាំធ្មេញ Roomchang Dental Hospital និងសេវាកម្មដែលមាន។ វាមិនមែនជាការជំនួសឱ្យដំបូន្មានវិជ្ជាជីវៈផ្នែកធ្មេញ វេជ្ជសាស្ត្រ ឬគ្លីនិកនោះទេ។","本网站内容仅供提供有关牙科护理、Roomchang Dental Hospital 及现有服务的一般信息之用，不能替代专业的牙科、医疗或临床建议。",""
"Legal — terms","termsOfService.content.body2","No doctor-patient relationship is created by viewing this website, submitting a form, sending a message, or receiving a general response through the website. A clinical relationship begins only through appropriate consultation and acceptance by the hospital team.","ពុំមានទំនាក់ទំនងរវាងទន្តបណ្ឌិត និងអ្នកជំងឺត្រូវបានបង្កើតឡើងឡើយ ដោយការមើលគេហទំព័រនេះ ការដាក់ស្នើបែបបទ ការផ្ញើសារ ឬការទទួលបានចម្លើយឆ្លើយតបទូទៅតាមរយៈគេហទំព័រនេះ។ ទំនាក់ទំនងផ្នែកគ្លីនិកចាប់ផ្តើមឡើងតែតាមរយៈការពិគ្រោះយោបល់ដ៏សមរម្យ និងការទទួលយកដោយក្រុមការងាររបស់មន្ទីរពេទ្យប៉ុណ្ណោះ។","浏览本网站、提交表单、发送消息或通过本网站收到一般回复，均不构成医生与患者之间的关系。临床关系仅在经过适当咨询并由医院团队接受后方才建立。",""
"Legal — terms","termsOfService.content.heading","Website Content","ខ្លឹមសារនៃគេហទំព័រ","网站内容",""
"Legal — terms","termsOfService.governingLaw.body","These terms are governed by the laws of the Kingdom of Cambodia.","លក្ខខណ្ឌទាំងនេះត្រូវបានគ្រប់គ្រងដោយច្បាប់នៃព្រះរាជាណាចក្រកម្ពុជា។","本条款受柬埔寨王国法律管辖。",""
"Legal — terms","termsOfService.governingLaw.heading","Governing Law","ច្បាប់ដែលគ្រប់គ្រង","适用法律",""
"Legal — terms","termsOfService.intellectualProperty.body","The website design, text, images, logos, service descriptions, and other content are owned by or licensed to Roomchang Dental Hospital unless otherwise stated. You may view the site for personal, informational use, but you may not copy, reuse, or distribute website content without permission.","ការរចនាគេហទំព័រ អត្ថបទ រូបភាព ឡូហ្គោ ការពិពណ៌នាសេវាកម្ម និងខ្លឹមសារផ្សេងទៀត គឺជាកម្មសិទ្ធិរបស់ ឬត្រូវបានផ្តល់អាជ្ញាបណ្ណឱ្យ Roomchang Dental Hospital លុះត្រាតែមានការបញ្ជាក់ផ្សេង។ អ្នកអាចមើលគេហទំព័រនេះសម្រាប់ការប្រើប្រាស់ផ្ទាល់ខ្លួន និងព័ត៌មាន ប៉ុន្តែអ្នកមិនអាចចម្លង ប្រើប្រាស់ឡើងវិញ ឬចែកចាយខ្លឹមសារនៃគេហទំព័រ ដោយគ្មានការអនុញ្ញាតបានឡើយ។","除非另有说明，网站的设计、文字、图片、标识、服务说明及其他内容均归 Roomchang Dental Hospital 所有或经其授权使用。您可出于个人和信息用途浏览本网站，但未经许可，不得复制、再利用或分发网站内容。",""
"Legal — terms","termsOfService.intellectualProperty.heading","Intellectual Property","កម្មសិទ្ធិបញ្ញា","知识产权",""
"Legal — terms","termsOfService.lastUpdated","Last updated: June 2026","ធ្វើបច្ចុប្បន្នភាពចុងក្រោយ៖ ខែមិថុនា ឆ្នាំ២០២៦","最后更新：2026年6月",""
"Legal — terms","termsOfService.liability.body","We aim to keep website information accurate and available, but we do not guarantee that the website will always be complete, current, error-free, or uninterrupted. To the extent permitted by law, Roomchang Dental Hospital is not liable for losses arising from website use, reliance on general website content, or technical issues outside our reasonable control.","យើងខិតខំរក្សាព័ត៌មាននៅលើគេហទំព័រឱ្យមានភាពត្រឹមត្រូវ និងអាចរកបាន ប៉ុន្តែយើងមិនធានាថាគេហទំព័រនឹងពេញលេញ ទាន់សម័យ គ្មានកំហុស ឬមិនមានការរំខានជានិច្ចនោះទេ។ ក្នុងវិសាលភាពដែលច្បាប់អនុញ្ញាត Roomchang Dental Hospital មិនទទួលខុសត្រូវចំពោះការខាតបង់ដែលកើតឡើងពីការប្រើប្រាស់គេហទំព័រ ការពឹងផ្អែកលើខ្លឹមសារទូទៅនៃគេហទំព័រ ឬបញ្ហាបច្ចេកទេសដែលនៅក្រៅការគ្រប់គ្រងសមហេតុផលរបស់យើងនោះទេ។","我们致力于保持网站信息的准确性和可用性，但我们不保证网站始终完整、最新、无误或不间断。在法律允许的范围内，对于因使用网站、依赖网站一般内容或我们合理控制之外的技术问题而产生的损失，Roomchang Dental Hospital 概不承担责任。",""
"Legal — terms","termsOfService.liability.heading","Limitation of Liability","ការកំណត់ការទទួលខុសត្រូវ","责任限制",""
"Legal — terms","termsOfService.pageTitle","Terms of Service","លក្ខខណ្ឌនៃការប្រើប្រាស់","服务条款",""
"Mobile menu","mobileNav.bookAppointment","Book Appointment","ធ្វើការណាត់ជួប","预约挂号",""
"Mobile menu","mobileNav.closeMenu","Close menu","បិទម៉ឺនុយ","关闭菜单",""
"Mobile menu","mobileNav.openMenu","Open menu","បើកម៉ឺនុយ","打开菜单",""
"Mobile menu","mobileNav.primaryNavLabel","Mobile primary","ការរុករកចម្បង","主导航",""
"Mobile menu","mobileNav.toggleSubmenu","Toggle {label} submenu","បើក/បិទម៉ឺនុយរង {label}","展开/收起{label}子菜单",""
"Navigation","nav.about","About","អំពីយើង","关于我们",""
"Navigation","nav.aboutRoomchang","About Roomchang","អំពីRoomchang","关于Roomchang",""
"Navigation","nav.allCases","All Cases","ករណីទាំងអស់","全部案例",""
"Navigation","nav.beyondWhitening","Beyond® Teeth Whitening","បច្ចេកវិទ្យាធ្វើធ្មេញឱ្យស Beyond®","Beyond® 冷光美白",""
"Navigation","nav.cadCam","CAD/CAM Digital Dentistry","ទន្តសាស្ត្រឌីជីថល","CAD/CAM 数字牙科",""
"Navigation","nav.clearAligner","Clear Aligner® (CA)","ពត់តម្រង់ធ្មេញប្រើជ័រថ្លា Clear Aligner® (CA)","Clear Aligner® (CA) 隐形矫治",""
"Navigation","nav.clinicalResults","Clinical Results","លទ្ធផលព្យាបាល","临床案例",""
"Navigation","nav.communityCharity","Roomchang in the Community","សហគមន៍ និងសប្បុរសធម៌","Roomchang 回馈社区",""
"Navigation","nav.corporatePartnerships","Corporate Partnerships","ដៃគូសហការ","企业合作",""
"Navigation","nav.cosmeticDentistry","Cosmetic Dentistry","កែសម្ភស្សមាត់ធ្មេញ","美容牙科",""
"Navigation","nav.cosmeticEmax","Cosmetic & E-Max","កែសម្ភស្សធ្មេញ និងគ្រាប់ធ្មេញ E-Max","美容与E-Max全瓷",""
"Navigation","nav.dentalCrowns","Crowns & Bridges","ធ្មេញស្រោបនិងធ្មេញស្ពាន","牙冠与牙桥",""
"Navigation","nav.dentalImplants","Dental Implants","ដាំបង្គោលធ្មេញ","种植牙",""
"Navigation","nav.dentalTreatmentCosts","Dental Treatment Costs","ថ្លៃព្យាបាលធ្មេញ","牙科治疗费用",""
"Navigation","nav.dentistTalks","Dentist Talks","បទសម្ភាសន៍វេជ្ជបណ្ឌិត","医生访谈",""
"Navigation","nav.dentures","Dentures","ធ្មេញសិប្បនិម្មិត","义齿修复",""
"Navigation","nav.directorMessage","Message from Our Director","សារពីនាយកមន្ទីរពេទ្យ","院长寄语",""
"Navigation","nav.doctors","Doctors","ទន្តបណ្ឌិត","医生团队",""
"Navigation","nav.educationBlog","Education Blog","អប់រំសុខភាពមាត់ធ្មេញ","口腔健康科普",""
"Navigation","nav.employmentOpportunities","Employment Opportunities","ឱកាសការងារ","招聘信息",""
"Navigation","nav.endodontics","Endodontics","ព្យាបាលរន្ធឫសធ្មេញ","牙髓治疗",""
"Navigation","nav.faq","FAQ","សំណួរចម្លើយញឹកញាប់","常见问题",""
"Navigation","nav.fullMouthReconstruction","Full Mouth Reconstruction","ស្ដារមាត់ពេញ","全口重建",""
"Navigation","nav.fullMouthReconstructionResults","Full Mouth Reconstruction","ស្ដារមាត់ពេញ","全口重建",""
"Navigation","nav.home","Home","ទំព័រដើម","首页",""
"Navigation","nav.iconVestibular","ICON® Vestibular","បច្ចេកវិទ្យាប៉ះធ្មេញ ICON® Vestibular","ICON® 微创釉质修复",""
"Navigation","nav.implantBridges","Implant Bridges","ដាំបង្គោលធ្មេញ និងធ្មេញស្ពាន","种植桥",""
"Navigation","nav.implantsComparison","Dental Implants Price Comparison","ប្រៀបធៀបតម្លៃបង្គោលធ្មេញ","种植牙价格对比",""
"Navigation","nav.implantsCrowns","Implants & Crowns","ដាំបង្គោលធ្មេញ និងស្រោបធ្មេញ","种植牙与牙冠",""
"Navigation","nav.international","International","អ្នកជំងឺអន្តរជាតិ","国际患者",""
"Navigation","nav.invisalign","Invisalign®","ពត់តម្រង់ធ្មេញប្រើជ័រថ្លា Invisalign®","Invisalign® 隐适美",""
"Navigation","nav.newsEvents","News & Events","ព័ត៌មាន និងព្រឹត្តិការណ៍","新闻与活动",""
"Navigation","nav.oralSurgery","Oral Surgery","វះកាត់មាត់ធ្មេញ","口腔外科",""
"Navigation","nav.orthodontics","Orthodontics","ពត់តម្រង់ធ្មេញ","正畸治疗",""
"Navigation","nav.orthodonticsResults","Orthodontics","ពត់តម្រង់ធ្មេញ","正畸案例",""
"Navigation","nav.orthoTain","Ortho-Tain® System","ពត់តម្រង់ធ្មេញប្រើជ័រថ្លា Ortho-Tain® System","Ortho-Tain® 早期矫治系统",""
"Navigation","nav.ourFacilities","Our Facilities","អគារ និងបរិក្ខារ","医院设施",""
"Navigation","nav.patientTestimonials","Patient Testimonials","បទពិសោធន៍អ្នកជំងឺ","患者评价",""
"Navigation","nav.pediatricDentistry","Pediatric Dentistry","ព្យាបាលធ្មេញកុមារ","儿童牙科",""
"Navigation","nav.periodontalDentistry","Periodontal Dentistry","ព្យាបាលអញ្ចាញធ្មេញ","牙周治疗",""
"Navigation","nav.preventiveDentistry","Preventive Dentistry","សេវាថែទាំនិងបង្ការជំងឺមាត់ធ្មេញ","预防牙科",""
"Navigation","nav.priceComparison","International Price Comparison","ប្រៀបធៀបតម្លៃ","国际价格对比",""
"Navigation","nav.pricing","Pricing","តម្លៃ","价格",""
"Navigation","nav.publications","Publications","ការបោះពុម្ពផ្សាយ","学术发表",""
"Navigation","nav.resmedApnealink","ResMed ApneaLink Air™","ឧបករណ៍ព្យាបាលជម្ងឺស្រម៉ុកResMed ApneaLink Air™","ResMed ApneaLink Air™ 睡眠诊断",""
"Navigation","nav.services","Services","សេវាកម្ម","诊疗项目",""
"Navigation","nav.snoringApnea","Sleep Apnea & Snoring","ព្យាបាលស្រម៉ុក និងស្ទះដង្ហើមពេលគេង","睡眠呼吸暂停与鼾症",""
"Navigation","nav.sterilisationTech","Sterilisation Technologies","បច្ចេកវិទ្យាសម្លាប់មេរោគ","消毒灭菌技术",""
"Navigation","nav.technology","Technology","បច្ចេកវិទ្យា","医疗技术",""
"Navigation","nav.teethWhitening","Teeth Whitening","ធ្វើធ្មេញឱ្យស","牙齿美白",""
"Navigation","nav.visionMission","Vision, Mission & Values","ចក្ខុវិស័យ បេសកកម្ម និងគុណតម្លៃ","愿景、使命与价值观",""
"News","newsPage.backToAbout","About","អំពីយើង","关于我们",""
"News","newsPage.contactUs","Contact Us","ទំនាក់ទំនងយើងខ្ញុំ","联系我们",""
"News","newsPage.heading","News & Events","ព័ត៌មាន និងព្រឹត្តិការណ៍","新闻与活动",""
"News","newsPage.intro","Stay updated with the latest news, events, press coverage, and announcements from Roomchang Dental Hospital — Cambodia's leading dental group since 1996.","តាមដានព័ត៌មាន ព្រឹត្តិការណ៍ ការផ្សាយព័ត៌មាន និងសេចក្តីប្រកាសចុងក្រោយបំផុតពីមន្ទីរពេទ្យធ្មេញ Roomchang — ក្រុមធ្មេញឈានមុខគេនៅកម្ពុជាតាំងពីឆ្នាំ 1996។","及时了解 Roomchang 牙科医院的最新新闻、活动、媒体报道与公告——柬埔寨自 1996 年以来领先的牙科集团。",""
"News","newsPage.metaDescription","The latest news, events, press coverage, and announcements from Roomchang Dental Hospital — Cambodia's leading dental group since 1996.","ព័ត៌មាន ព្រឹត្តិការណ៍ ការផ្សាយព័ត៌មាន និងសេចក្តីប្រកាសចុងក្រោយបំផុតពីមន្ទីរពេទ្យធ្មេញ Roomchang — ក្រុមធ្មេញឈានមុខគេនៅកម្ពុជាតាំងពីឆ្នាំ 1996។","了解 Roomchang 牙科医院的最新新闻、活动、媒体报道与公告——柬埔寨自 1996 年以来领先的牙科集团。",""
"News","newsPage.metaTitle","News & Events | Roomchang Dental Hospital","ព័ត៌មាន និងព្រឹត្តិការណ៍ | មន្ទីរពេទ្យធ្មេញ Roomchang","新闻与活动 | Roomchang 牙科医院",""
"News","newsPage.readArticle","Read Article","អានអត្ថបទ","阅读文章",""
"News","newsPage.stayConnectedBody","Follow us on social media for the latest updates, events, and dental health tips from Roomchang Dental Hospital.","តាមដានយើងនៅលើបណ្តាញសង្គម ដើម្បីទទួលបានព័ត៌មានថ្មីៗ ព្រឹត្តិការណ៍ និងគន្លឹះសុខភាពធ្មេញពីមន្ទីរពេទ្យធ្មេញ Roomchang។","在社交媒体上关注我们，获取 Roomchang 牙科医院的最新动态、活动以及口腔健康小贴士。",""
"News","newsPage.stayConnectedTitle","Stay Connected","នៅភ្ជាប់ជាមួយយើង","保持联系",""
"News detail","newsDetail.backLink","News & Events","ព័ត៌មាន និងព្រឹត្តិការណ៍","新闻与活动",""
"News detail","newsDetail.backToNews","Back to News & Events","ត្រឡប់ទៅព័ត៌មាន និងព្រឹត្តិការណ៍","返回新闻与活动",""
"Pricing","pricing.ausAvg","AU avg:","មធ្យមអូស្ត្រាលី:","澳洲均价：",""
"Pricing","pricing.compareLink","Compare with Australian prices","ប្រៀបធៀបជាមួយតម្លៃអូស្ត្រាលី","与澳洲价格对比",""
"Pricing","pricing.comparison.colAustralia","Australia (AUD)","អូស្ត្រាលី (AUD)","澳大利亚（澳元）",""
"Pricing","pricing.comparison.colRoomchang","Roomchang (USD)","Roomchang (USD)","Roomchang（美元）",""
"Pricing","pricing.comparison.colSingapore","Singapore (SGD)","សិង្ហបុរី (SGD)","新加坡（新元）",""
"Pricing","pricing.comparison.colTreatment","Treatment","ការព្យាបាល","治疗项目",""
"Pricing","pricing.comparison.ctaBody","Send us your X-rays or photos and we'll prepare a detailed treatment plan with exact pricing within two business days — at no charge.","ផ្ញើរូបថត X-ray ឬរូបថតរបស់អ្នក យើងនឹងរៀបចំផែនការព្យាបាលលម្អិតជាមួយតម្លៃជាក់ស្ដែងក្នុងរយៈពេលពីរថ្ងៃធ្វើការ — ឥតគិតថ្លៃ។","发送您的X光片或照片，我们将在两个工作日内为您准备详细的治疗计划和准确报价——完全免费。",""
"Pricing","pricing.comparison.ctaButton","Request a Free Quote","ស្នើសុំតម្លៃឥតគិតថ្លៃ","申请免费报价",""
"Pricing","pricing.comparison.ctaHeading","Worth the trip?","សមនឹងធ្វើដំណើរ?","值得一趟吗？",""
"Pricing","pricing.comparison.ctaPrimary","Get a Personalised Quote","ទទួលតម្លៃផ្ទាល់ខ្លួន","获取个性化报价",""
"Pricing","pricing.comparison.exchangeRateLabel","Exchange rates used:","អត្រាប្ដូរប្រាក់៖","使用汇率：",""
"Pricing","pricing.comparison.eyebrow","For International Patients","សម្រាប់អ្នកជំងឺអន្តរជាតិ","致国际患者",""
"Pricing","pricing.comparison.free","Free","ឥតគិតថ្លៃ","免费",""
"Pricing","pricing.comparison.heading","How Roomchang Compares — Australia & Singapore","Roomchang vs. អូស្ត្រាលី","Roomchang 价格对比 — 澳大利亚与新加坡",""
"Pricing","pricing.comparison.rows.013.treatment","Oral examination — limited","ការពិនិត្យមាត់ — មានកម្រិត","口腔检查 — 局部",""
"Pricing","pricing.comparison.rows.014.treatment","Consultation","ការពិគ្រោះយោបល់","咨询",""
"Pricing","pricing.comparison.rows.022.treatment","Intraoral periapical or bitewing X-ray (per exposure)","កាំរស្មី X ខាងក្នុងមាត់ (periapical ឬ bitewing) ក្នុងមួយដង","口内根尖或咬翼 X 光片（每次曝光）",""
"Pricing","pricing.comparison.rows.037.treatment","Panoramic X-ray (OPG)","កាំរស្មី X ប៉ាណូរ៉ាមា (OPG)","全景 X 光片 (OPG)",""
"Pricing","pricing.comparison.rows.071.treatment","Diagnostic model (per model)","គំរូវិនិច្ឆ័យ (ក្នុងមួយគំរូ)","诊断模型（每个模型）",""
"Pricing","pricing.comparison.rows.072.treatment","Photographic records — intraoral","កំណត់ត្រារូបថត — ខាងក្នុងមាត់","影像记录 — 口内",""
"Pricing","pricing.comparison.rows.111.treatment","Removal of plaque and/or stain","ការដកកករធ្មេញ និង/ឬ ស្នាមប្រឡាក់","去除牙菌斑和/或牙渍",""
"Pricing","pricing.comparison.rows.114.treatment","Removal of calculus — first visit","ការដកថ្មកករធ្មេញ — ការមកលើកដំបូង","去除牙结石 — 首次就诊",""
"Pricing","pricing.comparison.rows.141.treatment","Oral hygiene instruction","ការណែនាំអនាម័យមាត់ធ្មេញ","口腔卫生指导",""
"Pricing","pricing.comparison.rows.161.treatment","Fissure / tooth surface sealing (per tooth)","ការបិទស្នាមប្រេះ/ផ្ទៃធ្មេញ (ក្នុងមួយធ្មេញ)","窝沟/牙面封闭（每颗牙）",""
"Pricing","pricing.comparison.rows.232.treatment","Periodontal flap surgery (per quadrant)","ការវះកាត់ស្បែកអញ្ចាញធ្មេញ (ក្នុងមួយជ្រុង)","牙周翻瓣手术（每象限）",""
"Pricing","pricing.comparison.rows.311.treatment","Tooth extraction","ការដកធ្មេញ","拔牙",""
"Pricing","pricing.comparison.rows.521.treatment","Adhesive restoration — one surface, anterior tooth","ការស្ដារធ្មេញដោយជ័រស្អិត — មួយផ្ទៃ ធ្មេញខាងមុខ","粘接修复 — 单面，前牙",""
"Pricing","pricing.comparison.rows.531.treatment","Adhesive restoration — one surface, posterior tooth","ការស្ដារធ្មេញដោយជ័រស្អិត — មួយផ្ទៃ ធ្មេញខាងក្រោយ","粘接修复 — 单面，后牙",""
"Pricing","pricing.comparison.rows.582.treatment","Direct composite veneer","សន្លឹកគ្រប Composite ដោយផ្ទាល់","直接树脂贴面",""
"Pricing","pricing.comparison.rows.583.treatment","Indirect porcelain veneer","សន្លឹកគ្រប Porcelain ដោយប្រយោល","间接瓷贴面",""
"Pricing","pricing.comparison.rows.613.treatment","Full crown — non-metallic (E-Max / ceramic)","មកុដធ្មេញពេញ — គ្មានលោហៈ (E-Max / សេរ៉ាមិច)","全冠 — 非金属（E-Max / 全瓷）",""
"Pricing","pricing.comparison.rows.615.treatment","Full crown — veneered (PFM)","មកុដធ្មេញពេញ — គ្របលោហៈ (PFM)","全冠 — 饰面（烤瓷熔附金属 PFM）",""
"Pricing","pricing.comparison.rows.618.treatment","Full crown — metallic","មកុដធ្មេញពេញ — លោហៈ","全冠 — 金属",""
"Pricing","pricing.comparison.rows.625.treatment","Post and core for crown","ស្នូល និងបង្គោលសម្រាប់មកុដធ្មេញ","牙冠桩核",""
"Pricing","pricing.comparison.rows.643.treatment","Bridge pontic (per pontic)","ធ្មេញសប៉ុនថ្នាក់ស្ពាន (ក្នុងមួយធ្មេញ)","桥体（每个桥体）",""
"Pricing","pricing.comparison.rows.651.treatment","Recementing crown or veneer","ការបិទមកុដ ឬសន្លឹកគ្របឡើងវិញ","重新粘接牙冠或贴面",""
"Pricing","pricing.comparison.rows.672.treatment","Full crown on implant — veneered","មកុដធ្មេញពេញលើបង្គោលដាំ — គ្រប","种植体全冠 — 饰面",""
"Pricing","pricing.comparison.rows.688.treatment","Implant insertion (Myplant Two®, per implant)","ការដាំបង្គោលធ្មេញ (Myplant Two®, ក្នុងមួយបង្គោល)","种植体植入（Myplant Two®，每颗）",""
"Pricing","pricing.comparison.rows.711.treatment","Complete maxillary denture","ធ្មេញសិប្បនិម្មិតពេញថ្គាមលើ","上颌全口义齿",""
"Pricing","pricing.comparison.rows.719.treatment","Complete maxillary and mandibular dentures","ធ្មេញសិប្បនិម្មិតពេញថ្គាមលើ និងថ្គាមក្រោម","上下颌全口义齿",""
"Pricing","pricing.comparison.rows.721.treatment","Partial maxillary resin denture","ធ្មេញសិប្បនិម្មិតផ្នែកខ្លះថ្គាមលើ (ជ័រ)","上颌局部树脂义齿",""
"Pricing","pricing.comparison.rows.727.treatment","Partial denture — cast framework (2 teeth)","ធ្មេញសិប្បនិម្មិតផ្នែកខ្លះ — គ្រោងលោហៈ (២ ធ្មេញ)","局部义齿 — 铸造支架（2 颗牙）",""
"Pricing","pricing.comparison.seeImplants","See dental implants comparison","មើលការប្រៀបធៀបតម្លៃដាំបង្គោលធ្មេញ","查看种植牙价格对比",""
